cat_9k_1,FCW2136L0AK
TenGigabitEthernet1/0/18,dynamic_auto,1,,f8:7b:20:71:4d:92
TenGigabitEthernet1/0/19,dynamic_auto,1,,f8:7b:20:71:4d:93
TenGigabitEthernet1/0/20,dynamic_auto,1,,f8:7b:20:71:4d:94
TenGigabitEthernet1/0/21,dynamic_auto,1,,f8:7b:20:71:4d:95
TenGigabitEthernet1/0/22,dynamic_auto,1,,f8:7b:20:71:4d:96
TenGigabitEthernet1/0/23,dynamic_auto,1,,f8:7b:20:71:4d:97
TenGigabitEthernet1/0/24,access,1,,f8:7b:20:71:4d:98
TenGigabitEthernet1/1/1,routed,,,f8:7b:20:71:4d:80
TenGigabitEthernet1/1/2,dynamic_auto,1,,f8:7b:20:71:4d:9e
TenGigabitEthernet1/1/3,dynamic_auto,1,,f8:7b:20:71:4d:9f
TenGigabitEthernet1/1/4,dynamic_auto,1,,f8:7b:20:71:4d:a0
TenGigabitEthernet1/1/5,dynamic_auto,1,,f8:7b:20:71:4d:a1
TenGigabitEthernet1/1/6,dynamic_auto,1,,f8:7b:20:71:4d:a2
TenGigabitEthernet1/1/7,dynamic_auto,1,,f8:7b:20:71:4d:a3
TenGigabitEthernet1/1/8,dynamic_auto,1,,f8:7b:20:71:4d:a4


cs3850.abc.inc,FOC1833X0AR

GigabitEthernet1/0/1,dynamic_auto,1,,cc:d8:c1:15:d2:81
GigabitEthernet1/0/2,dynamic_auto,1,,cc:d8:c1:15:d2:82
GigabitEthernet1/0/3,dynamic_auto,1,,cc:d8:c1:15:d2:83
GigabitEthernet1/0/4,dynamic_auto,1,,cc:d8:c1:15:d2:84
GigabitEthernet1/0/5,dynamic_auto,1,,cc:d8:c1:15:d2:85
GigabitEthernet1/0/6,dynamic_auto,1,,cc:d8:c1:15:d2:86
GigabitEthernet1/0/7,dynamic_auto,1,,cc:d8:c1:15:d2:87
GigabitEthernet1/0/8,dynamic_auto,1,,cc:d8:c1:15:d2:88
GigabitEthernet1/0/9,dynamic_auto,1,,cc:d8:c1:15:d2:89
GigabitEthernet1/0/10,dynamic_auto,1,,cc:d8:c1:15:d2:8a
GigabitEthernet1/0/11,dynamic_auto,1,,cc:d8:c1:15:d2:8b
GigabitEthernet1/0/12,dynamic_auto,1,,cc:d8:c1:15:d2:8c
GigabitEthernet1/0/13,dynamic_auto,1,,cc:d8:c1:15:d2:8d
GigabitEthernet1/0/14,dynamic_auto,1,,cc:d8:c1:15:d2:8e
GigabitEthernet1/0/15,dynamic_auto,1,,cc:d8:c1:15:d2:8f
GigabitEthernet1/0/16,dynamic_auto,1,,cc:d8:c1:15:d2:90
GigabitEthernet1/0/17,dynamic_auto,1,,cc:d8:c1:15:d2:91
